ID,SENTENCE,CATEGORY,ASPECTS,ASPECT CATEGORY,SENTIMENT,ASPECTS_WITH_ASPECT_CATEGORY,ASPECTS_WITH_ASPECT_CATEGORY_AND_SENTIMENT
GPT-034,the staff was helpful and patient,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-035,the restaurant had a vintage and classic feel,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-036,i highly recommend the signature juice,DRINK,['RECOMMENDATION'],['FOOD'],['POSITIVE'],['FOOD-RECOMMENDATION'],FOOD-RECOMMENDATION-POSITIVE
GPT-037,the food was well seasoned and satisfying,FOOD,"['PORTION', 'FLAVOR']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-PORTION', 'FOOD-FLAVOR']","FOOD-PORTION-POSITIVE, FOOD-FLAVOR-POSITIVE"
GPT-038,the service was friendly and professional,SERVICE,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-039,the staff was attentive and respectful,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-040,the restaurant had a spacious and airy layout,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['NEUTRAL'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-NEUTRAL
GPT-041,i was pleasantly surprised by the quality of the coffee,DRINK,['QUALITY'],['FOOD'],['POSITIVE'],['FOOD-QUALITY'],FOOD-QUALITY-POSITIVE
GPT-042,the food was fresh and authentic,FOOD,['QUALITY'],['FOOD'],['POSITIVE'],['FOOD-QUALITY'],FOOD-QUALITY-POSITIVE
GPT-043,the service was smooth and seamless,SERVICE,['WAIT_TIME'],['SERVICE'],['POSITIVE'],['SERVICE-WAIT_TIME'],SERVICE-WAIT_TIME-POSITIVE
GPT-044,the staff was approachable and friendly,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-045,the restaurant had a relaxed and casual atmosphere,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-046,i highly recommend the wine selection,DRINK,['RECOMMENDATION'],['FOOD'],['POSITIVE'],['FOOD-RECOMMENDATION'],FOOD-RECOMMENDATION-POSITIVE
GPT-047,the food was nutritious and wholesome,FOOD,['QUALITY'],['FOOD'],['POSITIVE'],['FOOD-QUALITY'],FOOD-QUALITY-POSITIVE
GPT-048,the service was prompt and efficient,SERVICE,['GENERAL'],['SERVICE'],['POSITIVE'],['SERVICE-GENERAL'],SERVICE-GENERAL-POSITIVE
GPT-049,the staff was polite and respectful,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-050,the restaurant had a stylish and contemporary vibe,RESTAURANT,['DECORATION'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-DECORATION'],RESTAURANT-DECORATION-POSITIVE
GPT-051,i was impressed by the variety of soda and sparkling water,DRINK,['MENU'],['FOOD'],['POSITIVE'],['FOOD-MENU'],FOOD-MENU-POSITIVE
GPT-052,the food was delicious and satisfying,FOOD,"['PORTION', 'TASTE']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-PORTION', 'FOOD-TASTE']","FOOD-PORTION-POSITIVE, FOOD-TASTE-POSITIVE"
GPT-053,the service was fast and friendly,SERVICE,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-054,the staff was accommodating and attentive,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-055,the restaurant had a comfortable and cozy atmosphere,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-056,i highly recommend the specialty cocktail,DRINK,['RECOMMENDATION'],['FOOD'],['POSITIVE'],['FOOD-RECOMMENDATION'],FOOD-RECOMMENDATION-POSITIVE
GPT-057,the food was high quality and well prepared,FOOD,['QUALITY'],['FOOD'],['POSITIVE'],['FOOD-QUALITY'],FOOD-QUALITY-POSITIVE
GPT-058,the service was attentive and professional,SERVICE,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-059,the staff was knowledgeable and helpful,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-060,the restaurant had a sophisticated and elegant feel,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-061,i was impressed by the quality of the tea and herbal infusion,DRINK,"['INGREDIENT', 'QUALITY']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-INGREDIENT', 'FOOD-QUALITY']","FOOD-INGREDIENT-POSITIVE, FOOD-QUALITY-POSITIVE"
GPT-062,the food was fresh and delicious,FOOD,"['QUALITY', 'TASTE']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-QUALITY', 'FOOD-TASTE']","FOOD-QUALITY-POSITIVE, FOOD-TASTE-POSITIVE"
GPT-063,the service was efficient and courteous,SERVICE,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-064,the staff was friendly and informative,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-065,i was impressed with the speed and efficiency of the service,SERVICE,['WAIT_TIME'],['SERVICE'],['POSITIVE'],['SERVICE-WAIT_TIME'],SERVICE-WAIT_TIME-POSITIVE
GPT-066,the staff was very friendly and accommodating,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-067,the restaurant ha a modern and elegant ambience,"AMBIENCE, RESTAURANT",['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-068,i had an amazing meal at this restaurant,FOOD,['GENERAL'],['FOOD'],['POSITIVE'],['FOOD-GENERAL'],FOOD-GENERAL-POSITIVE
GPT-069,i highly recommend the steak it was cooked to perfection,FOOD,['QUALITY'],['FOOD'],['POSITIVE'],['FOOD-QUALITY'],FOOD-QUALITY-POSITIVE
GPT-070,i tried the margarita and it was delicious,DRINK,['TASTE'],['FOOD'],['POSITIVE'],['FOOD-TASTE'],FOOD-TASTE-POSITIVE
GPT-071,i was disappointed with the price of the drink,DRINK,['PRICE'],['FOOD'],['NEGATIVE'],['FOOD-PRICE'],FOOD-PRICE-NEGATIVE
GPT-072,the coffee was rich and flavorful,DRINK,"['QUALITY', 'FLAVOR']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-QUALITY', 'FOOD-FLAVOR']","FOOD-QUALITY-POSITIVE, FOOD-FLAVOR-POSITIVE"
GPT-073,i had a wonderful time at the restaurant great atmosphere and service,"SERVICE, RESTAURANT","['ATMOSPHERE', 'GENERAL']","['RESTAURANT', 'SERVICE']","['POSITIVE', 'POSITIVE']","['RESTAURANT-ATMOSPHERE', 'SERVICE-GENERAL']","RESTAURANT-ATMOSPHERE-POSITIVE, SERVICE-GENERAL-POSITIVE"
GPT-074,the restaurant was clean and well maintained,RESTAURANT,['HYGIENE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-HYGIENE'],RESTAURANT-HYGIENE-POSITIVE
GPT-075,i was pleased with the variety of dish on the menu,FOOD,['MENU'],['FOOD'],['POSITIVE'],['FOOD-MENU'],FOOD-MENU-POSITIVE
GPT-076,the menu had some unique and innovative option,FOOD,['MENU'],['FOOD'],['POSITIVE'],['FOOD-MENU'],FOOD-MENU-POSITIVE
GPT-077,the restaurant had a lively and energetic vibe,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-078,the restaurant had a cozy and comfortable atmosphere,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-079,i appreciated the attention to detail in the presentation of the food,FOOD,['PRESENTATION'],['FOOD'],['POSITIVE'],['FOOD-PRESENTATION'],FOOD-PRESENTATION-POSITIVE
GPT-080,the restaurant had a friendly and welcoming staff,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-081,the drink were well priced and of good quality,DRINK,"['PRICE', 'QUALITY']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-PRICE', 'FOOD-QUALITY']","FOOD-PRICE-POSITIVE, FOOD-QUALITY-POSITIVE"
GPT-082,i enjoyed the live music and the ambience of the restaurant,RESTAURANT,"['ATMOSPHERE', 'FEATURES']","['RESTAURANT', 'RESTAURANT']","['POSITIVE', 'POSITIVE']","['RESTAURANT-ATMOSPHERE', 'RESTAURANT-FEATURES']","RESTAURANT-ATMOSPHERE-POSITIVE, RESTAURANT-FEATURES-POSITIVE"
GPT-083,the restaurant had a romantic and intimate setting,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-084,the staff was professional and efficient,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-085,the restaurant had a relaxing and peaceful atmosphere,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-086,i highly recommend the fresh juice they were so refreshing,DRINK,['GENERAL'],['FOOD'],['POSITIVE'],['FOOD-GENERAL'],FOOD-GENERAL-POSITIVE
GPT-087,the restaurant had a chic and stylish decor,RESTAURANT,['DECORATION'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-DECORATION'],RESTAURANT-DECORATION-POSITIVE
GPT-088,the restaurant had a vibrant and lively atmosphere,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-089,i was pleased with the reasonable price for the food and drink,"DRINK, FOOD",['PRICE'],['FOOD'],['POSITIVE'],['FOOD-PRICE'],FOOD-PRICE-POSITIVE
GPT-090,i was impressed with the speed and quality of the behaviour,SERVICE,"['BEHAVIOUR', 'WAIT_TIME']","['SERVICE', 'SERVICE']","['POSITIVE', 'POSITIVE']","['SERVICE-BEHAVIOUR', 'SERVICE-WAIT_TIME']","SERVICE-BEHAVIOUR-POSITIVE, SERVICE-WAIT_TIME-POSITIVE"
GPT-091,the staff was knowledgeable about the wine option,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-092,i had a great time at the restaurant the staff was friendly and the food was delicious,"FOOD, STAFF","['TASTE', 'BEHAVIOUR']","['FOOD', 'SERVICE']","['POSITIVE', 'POSITIVE']","['FOOD-TASTE', 'SERVICE-BEHAVIOUR']","FOOD-TASTE-POSITIVE, SERVICE-BEHAVIOUR-POSITIVE"
GPT-093,i was impressed with the variety of craft beer on the menu,FOOD,['MENU'],['FOOD'],['POSITIVE'],['FOOD-MENU'],FOOD-MENU-POSITIVE
GPT-094,the restaurant had a modern and upscale ambience,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['NEGATIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-NEGATIVE
GPT-095,i highly recommend the sushi it was so fresh and flavorful,FOOD,"['QUALITY', 'FLAVOR']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-QUALITY', 'FOOD-FLAVOR']","FOOD-QUALITY-POSITIVE, FOOD-FLAVOR-POSITIVE"
GPT-096,the drink were well made and creative,DRINK,['QUALITY'],['FOOD'],['POSITIVE'],['FOOD-QUALITY'],FOOD-QUALITY-POSITIVE
GPT-097,i appreciated the quality of the ingredient in the drink,DRINK,"['INGREDIENT', 'QUALITY']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-INGREDIENT', 'FOOD-QUALITY']","FOOD-INGREDIENT-POSITIVE, FOOD-QUALITY-POSITIVE"
GPT-098,i was pleased with the relaxed and casual atmosphere of the restaurant,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-099,the staff was professional and friendly,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-100,i was impressed with the attention to detail in the presentation of the drink,DRINK,['PRESENTATION'],['FOOD'],['POSITIVE'],['FOOD-PRESENTATION'],FOOD-PRESENTATION-POSITIVE
GPT-1000,the price of the building s unit is flexible with several payment option available to match the presentation,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1000,the price of the building s unit is flexible with several payment option available to match the presentation,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1001,the price of the building s unit is worth the investment for the high end presentation and amenity,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1001,the price of the building s unit is worth the investment for the high end presentation and amenity,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1002,the building s presentation is versatile and flexible with a price that caters to a wide range of budget,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1002,the building s presentation is versatile and flexible with a price that caters to a wide range of budget,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1003,the building s presentation is bold and daring with a price that is worth the unique design,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1003,the building s presentation is bold and daring with a price that is worth the unique design,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1004,the price of the building s unit is reasonable for the presentation and location making it a good value,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1004,the price of the building s unit is reasonable for the presentation and location making it a good value,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1005,the building s presentation is artistic and creative with a price that match the unique design,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1005,the building s presentation is artistic and creative with a price that match the unique design,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1006,the price of the building s unit is on the higher side but the presentation and amenity are top notch,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1006,the price of the building s unit is on the higher side but the presentation and amenity are top notch,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1007,the building s presentation is minimalistic and sleek with a price that match the clean design,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1007,the building s presentation is minimalistic and sleek with a price that match the clean design,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1008,the price of the building s unit is within the range of other property in the same location but the presentation is outstanding,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1008,the price of the building s unit is within the range of other property in the same location but the presentation is outstanding,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1009,the building s presentation is luxurious and opulent with a price that is worth the investment for the high end finish,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1009,the building s presentation is luxurious and opulent with a price that is worth the investment for the high end finish,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-101,the restaurant had a cozy and comfortable setting,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-1010,the building s presentation is stunning with a keen attention to hygiene and cleanliness,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1010,the building s presentation is stunning with a keen attention to hygiene and cleanliness,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1011,the building s presentation is welcoming and inviting with a focus on maintaining a high standard of hygiene,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1011,the building s presentation is welcoming and inviting with a focus on maintaining a high standard of hygiene,RESTAURANT,['BUILDING'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-BUILDING'],RESTAURANT-BUILDING-POSITIVE
GPT-1012,the hygiene of the building is a top priority ensuring that the presentation is always top notch,RESTAURANT,"['BUILDING', 'HYGIENE']","['RESTAURANT', 'RESTAURANT']","['POSITIVE', 'POSITIVE']","['RESTAURANT-BUILDING', 'RESTAURANT-HYGIENE']","RESTAURANT-BUILDING-POSITIVE, RESTAURANT-HYGIENE-POSITIVE"
GPT-1012,the hygiene of the building is a top priority ensuring that the presentation is always top notch,RESTAURANT,"['BUILDING', 'HYGIENE']","['RESTAURANT', 'RESTAURANT']","['POSITIVE', 'POSITIVE']","['RESTAURANT-BUILDING', 'RESTAURANT-HYGIENE']","RESTAURANT-BUILDING-POSITIVE, RESTAURANT-HYGIENE-POSITIVE"
